location,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE
БЕОГРАД - ЗЕЛЕНО БРДО,2018-01-29,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-01-30,0,6,0,0,6,0,0,0,0,51,211,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-01-31,0,2,0,0,3,0,0,0,0,46,52,0,10,0,0,0,0,0,0,2,0,0,3,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-01,0,4,0,0,32,0,3,0,0,27,20,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-02,0,0,0,0,55,0,0,0,0,67,313,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-04,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-05,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-06,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-07,0,2,0,0,4,0,0,0,0,14,9,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-17,0,2,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-18,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-19,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-21,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-23,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-24,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-25,0,2,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-26,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-27,0,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-02-28,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-01,0,0,0,0,4,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-02,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-03,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-04,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-05,0,0,0,0,4,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-06,0,4,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-07,0,6,0,0,5,0,0,0,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-08,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-09,0,8,0,0,28,0,0,0,0,8,50,0,2,0,0,0,0,0,0,2,0,0,0,0,61,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-10,0,6,0,0,23,0,0,0,0,6,56,0,2,0,0,0,0,0,0,0,0,0,0,0,153,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-11,0,36,0,0,0,0,0,0,0,7,116,0,0,0,0,0,0,0,0,90,0,0,0,0,269,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-12,0,43,0,0,15,0,0,0,0,0,28,0,0,0,0,0,0,0,0,8,0,0,0,0,75,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-13,0,1,0,0,10,0,0,0,0,2,172,0,0,0,0,0,0,0,0,24,0,0,0,0,59,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-14,0,5,0,0,23,0,0,0,0,3,33,0,4,0,0,0,0,0,0,18,0,0,0,0,53,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-15,0,10,0,0,21,0,2,0,0,6,59,0,2,0,0,0,0,0,0,11,0,0,11,0,40,0
БЕОГРАД - ЗЕЛЕНО БРДО,2018-03-16,0,11,0,0,3,0,0,0,0,2,142,0,0,0,0,0,0,0,0,10,0,0,14,0,33,0
