location,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-06,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-15,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-21,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-22,0,1,0,0,0,0,0,0,0,177,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-23,1,4,0,0,1,0,0,0,0,256,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-24,1,2,0,0,0,0,0,0,0,128,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-25,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-26,0,1,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-27,0,0,0,0,1,0,0,0,0,12,9,0,2,0,0,0,0,0,0,2,0,0,0,0,5,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-02-28,7,3,0,0,0,0,0,0,0,35,34,0,21,0,0,0,0,0,0,2,0,0,0,0,32,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-01,0,5,0,0,5,0,3,0,0,16,413,0,48,0,0,0,0,0,0,1,0,0,0,0,27,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-02,1,1,0,0,1,0,2,0,0,5,3,0,4,0,0,0,0,0,0,5,0,0,0,0,13,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-03,0,3,0,0,2,0,0,0,0,2,22,0,27,0,0,0,0,0,0,44,0,0,0,0,21,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-04,2,10,0,0,0,0,0,0,0,59,460,0,51,0,0,0,0,0,0,25,0,0,0,0,53,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-05,30,4,0,0,2,0,0,0,0,53,638,0,80,0,0,0,0,0,0,9,0,0,1,0,33,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-06,2,0,0,0,1,0,0,0,0,5,13,0,60,0,0,0,0,0,0,78,0,0,0,0,5,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-07,3,0,0,0,3,0,0,0,0,5,133,0,109,0,0,0,0,0,0,139,0,0,0,0,24,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-08,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-09,0,0,0,0,2,0,0,0,0,0,20,0,55,0,0,0,0,0,0,90,0,0,0,0,7,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-10,4,0,0,0,6,0,0,0,0,9,123,0,67,0,0,0,0,0,0,52,0,0,2,0,22,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-11,16,5,0,0,19,0,0,0,0,10,44,0,68,0,0,0,0,0,0,55,0,0,0,0,24,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-12,0,2,0,0,6,0,1,0,0,6,8,0,6,0,0,0,0,0,0,4,0,0,0,0,17,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-13,10,2,0,0,4,0,0,0,0,0,21,0,40,0,0,0,0,0,0,73,0,0,5,0,11,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-14,12,0,0,0,0,0,0,0,0,1,148,0,58,0,0,0,0,0,0,121,0,0,0,0,4,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-15,11,8,0,0,0,0,0,0,0,3,177,0,19,0,0,0,0,0,0,71,0,0,0,0,5,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-16,20,1,0,0,14,0,0,0,0,3,323,0,39,0,0,0,0,0,0,117,0,0,1,0,9,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-17,14,0,0,0,12,0,0,0,0,11,92,0,28,0,0,0,0,0,0,111,0,0,7,0,7,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-18,138,0,0,0,5,0,0,0,0,12,171,0,75,0,0,0,0,0,0,138,0,0,3,0,12,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-19,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,24,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-20,26,0,0,0,0,0,0,0,0,2,7,0,96,0,0,0,0,0,0,50,0,0,10,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-21,185,0,0,0,17,0,0,0,0,0,81,0,420,0,0,0,0,0,0,58,1,0,70,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-22,87,0,0,0,42,0,2,0,0,0,70,0,315,0,0,0,0,0,1,54,8,0,32,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-23,56,0,0,0,41,0,0,0,0,0,46,0,68,0,0,0,0,0,0,30,0,0,30,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-24,84,0,0,0,171,0,1,0,0,0,122,0,139,0,0,1,0,0,0,31,0,0,90,0,4,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-25,57,0,0,0,191,0,0,0,0,1,177,0,76,0,0,0,0,0,0,106,0,0,154,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-26,17,0,0,0,63,0,0,0,0,0,18,0,19,0,0,0,0,0,0,8,0,0,74,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-27,78,0,0,0,193,0,0,0,0,0,49,0,93,0,0,0,0,0,0,148,0,0,148,0,2,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-28,81,0,0,0,171,0,0,0,0,1,24,0,43,0,0,0,0,0,0,43,4,0,153,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-29,103,0,0,0,306,0,0,0,0,0,324,0,157,0,0,0,0,0,0,56,0,0,149,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-30,117,0,0,0,277,0,0,0,0,0,187,0,167,0,0,0,0,4,0,31,2,0,322,0,3,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-03-31,62,0,0,0,77,0,0,0,0,0,27,0,42,7,0,0,0,3,1,3,0,0,86,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-04-01,167,0,0,0,237,0,0,0,0,0,32,0,174,209,0,0,0,1,0,16,5,0,181,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-04-02,92,0,0,0,94,0,0,0,0,0,50,0,33,473,0,0,0,5,7,0,21,0,77,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-04-03,287,2,0,0,13,0,24,0,0,0,10,0,52,305,0,0,0,19,0,0,12,0,62,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-04-04,62,0,0,0,29,0,7,0,0,0,37,1,16,320,5,0,0,34,1,0,54,0,31,1,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2017-04-05,13,0,0,0,13,0,0,0,0,0,5,1,0,5,21,0,0,25,2,0,6,0,3,1,0,1
БЕОГРАД - ЗЕЛЕНО БРДО,2017-04-06,106,1,0,0,136,0,14,0,0,0,14,0,130,85,7,0,0,95,0,0,0,0,171,0,0,0
