location,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-10,0,1,0,0,0,0,0,0,0,10,5,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-11,0,3,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-12,0,3,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-13,1,4,0,0,0,0,0,0,0,7,4,0,50,0,0,0,0,0,0,7,0,0,0,0,28,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-14,3,5,0,0,2,0,11,0,0,27,102,0,102,0,0,0,0,0,0,11,0,0,0,0,39,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-22,7,2,0,0,1,0,6,0,0,5,796,0,17,0,0,0,0,0,0,80,0,0,1,0,68,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-23,0,0,0,0,1,0,0,0,0,0,111,0,3,0,0,0,0,0,0,16,0,0,1,0,29,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-24,1,4,0,0,3,0,0,0,0,0,70,0,14,0,0,0,0,0,0,31,0,0,0,0,12,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-25,0,1,0,0,0,0,0,0,0,0,16,0,9,0,0,0,0,0,0,11,0,0,1,0,6,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-26,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,11,0,0,0,0,6,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-27,11,2,0,0,0,0,2,0,0,2,11,0,0,0,0,0,0,0,0,78,0,0,0,0,53,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-28,20,2,0,0,0,0,1,0,0,6,25,0,7,0,0,0,0,0,0,48,0,0,5,0,52,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-02-29,8,1,0,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,39,0,0,3,0,17,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-01,2,0,0,0,0,0,0,0,0,0,142,0,4,0,0,0,0,0,0,13,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-02,0,0,0,0,0,0,1,0,0,0,90,0,1,0,0,0,0,0,0,19,0,0,6,0,4,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-03,1,0,0,0,0,0,25,0,0,0,309,0,6,0,0,0,0,0,0,18,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-04,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-07,0,0,0,0,0,0,3,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-08,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-09,13,0,0,0,0,0,6,0,0,0,20,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-12,8,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-13,9,0,0,0,0,0,6,0,0,0,326,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-14,9,0,0,0,0,0,19,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-15,23,0,0,0,12,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-16,17,0,0,0,2,0,23,0,0,0,6,0,0,0,0,0,0,0,0,3,6,0,4,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-17,9,0,0,0,0,0,9,0,0,0,23,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-18,28,0,0,0,0,0,18,0,0,0,29,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-19,49,0,0,0,2,0,65,0,0,0,293,0,0,0,0,0,0,0,0,9,4,0,6,0,10,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-20,43,0,0,0,13,0,68,0,0,0,51,0,0,0,0,0,0,0,0,1,15,0,7,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-21,46,0,0,0,6,0,43,0,0,4,43,0,1,0,0,0,0,0,0,11,1,0,5,0,9,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-22,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-24,1,0,0,0,1,0,24,0,0,0,2,0,0,0,0,0,0,0,0,6,4,0,7,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-25,13,0,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-26,72,2,0,0,2,0,25,0,0,6,5,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-27,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-28,19,0,0,0,19,0,33,0,0,0,33,0,6,0,0,0,0,0,0,6,0,0,0,0,1,0
БЕОГРАД - ЗЕЛЕНО БРДО,2016-03-29,53,0,0,0,64,0,189,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
